,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
,Brand Name,Business Segment V2,"Merchant Commission Share of Aov, %","Merchant Delivered Orders Count, #","Bolt Plus Enrolled Provider GMV Share, %","GMV Before Discounts per Order, €","Merchant Commission Share of Aov, %","Merchant Delivered Orders Count, #","Bolt Plus Enrolled Provider GMV Share, %","GMV Before Discounts per Order, €"
1,TOPIC SNACK,SMB (AM Segment),39.0%,1,100.0%,€9.50,39.0%,1,100.0%,€9.59
2,MLYNCEVA NASOLODA,SMB (AM Segment),37.4%,2,100.0%,€8.82,33.1%,2,100.0%,€11.45
3,TRATTORIA MARCELLO,SMB (AM Segment),36.7%,6,100.0%,€27.06,35.5%,8,100.0%,€21.95
4,BURGER&PIZZA BAR,SMB (AM Segment),36.1%,4,100.0%,€27.05,36.9%,2,100.0%,€18.06
5,QARTULI,SMB (AM Segment),36.0%,1,100.0%,€29.01,33.5%,3,100.0%,€31.40
6,PICA DUKIVSKA,SMB (AM Segment),36.0%,1,100.0%,€7.28,28.0%,1,100.0%,€24.89
7,KAFE BONHUSTA,SMB (AM Segment),36.0%,1,100.0%,€8.01,30.3%,4,100.0%,€19.92
8,DA SUSHI,SMB (AM Segment),36.0%,2,100.0%,€10.93,32.3%,11,100.0%,€23.03
9,MAYSTERNIA MLYNTSIV,SMB (AM Segment),36.0%,3,100.0%,€24.87,33.0%,6,100.0%,€15.42
10,SMACHNA YIZHA,SMB (AM Segment),36.0%,1,100.0%,€20.48,36.0%,1,100.0%,€26.76
11,DREAM CLUB,SMB (AM Segment),36.0%,1,100.0%,€9.18,30.0%,1,100.0%,€20.61
12,MEATBUSTERS,SMB (AM Segment),36.0%,3,100.0%,€20.65,30.0%,2,100.0%,€45.52
13,KORKY TA KRYCHTY,SMB (AM Segment),36.0%,3,100.0%,€14.39,32.3%,5,100.0%,€15.84
14,MISTER HRYL,SMB (AM Segment),36.0%,1,100.0%,€11.21,,,,
15,KEBAB HAUSE KYIV,SMB (AM Segment),36.0%,1,100.0%,€7.99,36.0%,1,100.0%,€17.80
16,BATKIVSKIY STIL,SMB (AM Segment),36.0%,1,100.0%,€14.80,,,,
17,MYATA SMUZIFRESH BAR,SMB (AM Segment),35.9%,2,100.0%,€35.41,35.9%,4,100.0%,€26.16
18,BO BIZU,SMB (AM Segment),35.7%,5,100.0%,€9.71,35.6%,8,100.0%,€12.07
19,KEBAB HAUS,SMB (AM Segment),35.7%,2,100.0%,€8.13,35.0%,2,100.0%,€13.09
20,ECOPIZZA,SMB (AM Segment),35.6%,25,100.0%,€13.17,35.4%,21,100.0%,€12.61
21,HOOLS,SMB (AM Segment),35.6%,3,100.0%,€28.03,39.0%,1,100.0%,€30.25
22,SLON NDIAN RESTAURANT,SMB (AM Segment),35.5%,10,100.0%,€14.35,34.5%,3,100.0%,€14.85
23,KREVETKO SUSHI,SMB (AM Segment),35.5%,3,100.0%,€20.70,31.0%,2,100.0%,€33.45
24,KUKHNYA KV,SMB (AM Segment),35.5%,4,100.0%,€13.26,34.8%,7,100.0%,€7.98
25,SUSHI MIO,SMB (AM Segment),35.5%,5,100.0%,€34.44,35.1%,6,100.0%,€36.33
26,PICAMANKA,SMB (AM Segment),35.4%,4,100.0%,€12.88,35.8%,3,100.0%,€12.93
27,BEER & FISH,SMB (AM Segment),35.4%,5,100.0%,€13.60,35.0%,3,100.0%,€14.65
28,RAKBURGER,SMB (AM Segment),35.4%,3,100.0%,€11.10,33.0%,3,100.0%,€18.30
29,KAFE SHKVAROCHKA,SMB (AM Segment),35.4%,15,100.0%,€10.13,34.2%,19,100.0%,€11.20
30,STARHOROD,SMB (AM Segment),35.1%,6,100.0%,€29.18,35.2%,5,100.0%,€34.49
31,FAT TONNY,SMB (AM Segment),35.1%,14,100.0%,€11.52,35.2%,18,100.0%,€15.88
32,ZAZIKO,SMB (AM Segment),35.0%,2,0.0%,€13.21,,,,
