brand_name_x,provider_id,city_name,account_manager_name,segment,gmv_feb_2026_eur,had_sponsored_listing,parent_account_id,parent_account_name,brand_name_y,group_name
Duck Please Володимирська,8264,Kyiv,Marta Vaskina,SMB (AM Segment),8426.73,No,5815.0,"Duck, please",DUCK PLEASE,DUCK PLEASE GROUP
T-Bone Prime Beef,12909,Kyiv,Marina Georgieva,SMB (AM Segment),6201.45,No,9333.0,T-Bone Prime Beef,TBONE PRIME BEEF,TBONE PRIME BEEF GROUP
Duck Please Дніпровська набережна,12625,Kyiv,Marta Vaskina,SMB (AM Segment),5686.92,No,5815.0,"Duck, please",DUCK PLEASE,DUCK PLEASE GROUP
Taco Taco taqueria,32428,Lviv,Mykyta Maliarchuk,SMB (AM Segment),5128.92,No,22786.0,Taco Taco taqueria,TACO TACO TAQUERIA,TACO TACO TAQUERIA GROUP
Tasty tail,69876,Lviv,Mykyta Maliarchuk,SMB (AM Segment),4989.42,No,46813.0,Tasty tail,TASTY TAIL,TASTY TAIL GROUP
Tangerine,126168,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),4767.6,No,91811.0,Tangerine,TANGERINE,TANGERINE
Грузинський,121900,Lviv,Vadym Bardysh,SMB (AM Segment),4685.91,No,56231.0,Грузинський,HRUZYNSKYI,SHUM
Амерікано,39703,Lviv,Mykyta Maliarchuk,SMB (AM Segment),4477.97,No,27487.0,Амерікано,AMERIKANO,AMERIKANO GROUP
Sushi Lover,131622,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),4452.33,No,96542.0,SUSHI LOVER Kyiv,SUSHI LOVER,PIZZA AND SUSHI LOVER
Yalla вул. Гончара,103975,Kyiv,Marta Vaskina,SMB (AM Segment),4411.68,No,47633.0,Yalla,YALLA,YALLA GROUP
Some like it hot,110980,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),4245.96,No,78885.0,SOME LIKE IT HOT Kharkiv,SOME LIKE IT HOT,SOME LIKE IT HOT GROUP
OG Burger,76472,Kyiv,Marta Vaskina,SMB (AM Segment),4237.05,No,28094.0,OG Burgers,OG BURGER,OG BURGER GROUP
Si,110888,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),4176.18,No,78808.0,SI Kyiv,SI,SI GROUP
Casa Lora,64591,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),4007.61,No,43641.0,Casa Lora,CASA LORA,CASA LORA GROUP
Fugazzeta,33734,Lviv,Mykyta Maliarchuk,SMB (AM Segment),3822.57,No,23688.0,Fugazzeta,FUGAZZETA,FUGAZZETA GROUP
Asia Go,80596,Kyiv,Vadym Bardysh,SMB (AM Segment),3537.82,Yes,54140.0,ФУДІБОКС,ASIA GO,FUDIBOKS
PanAzia Скрипника,73597,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),3514.19,No,49239.0,PanAzia,PANAZIA,PANAZI GROUP
Марчук Хліб на Межигірській,168737,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),3335.21,Yes,126199.0,MARCHUK Kyiv,MARCHUK,MARCHUK
АППЕТІТО Рибалко,63174,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),3320.31,No,42824.0,Аппетіто,APPETITO,APPETITO GROUP
КУХМЕЙСТЕР,19265,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),3306.33,No,14000.0,КУХМЕЙСТЕР,KUCHMEJSTER,KUCHMEJSTER GROUP
Я люблю кебаб вул. Патона,147235,Lviv,Mykyta Maliarchuk,SMB (AM Segment),3180.75,No,104801.0,I LOVE KEBAB Lviv,I LOVE KEBAB,I LOVE KEBAB
BUDUSUSHI Драгоманова,54551,Kyiv,,SMB (AM Segment),3144.77,No,24396.0,BUDUSUSHI,BUDUSUSHI,BUDUSUSHI GROUP
Marymo,120175,Lviv,Mykyta Maliarchuk,SMB (AM Segment),3118.74,No,86708.0,Marevo,MAREVO,MAREVO
Рибка з неба,124722,Kyiv,Marina Georgieva,SMB (AM Segment),3030.03,No,90508.0,Рибка з неба,RYBKA Z NEBA,RYBKA Z NEBA GROUP
Гімалаї,8758,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),3011.49,No,6308.0,Гімалаї,HIMALAYI,HIMALAYI GROUP
FRUIT+VEG (ex ORANG+UTAN),8534,Kyiv,Marina Georgieva,SMB (AM Segment),2978.15,No,6147.0,ORANG+UTAN,FRUIT+VEG,FRUIT VEG
SHASHLIKE,73864,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2976.1,No,49423.0,SHASHLIKE,SHASHLIKE,SHASHLIKE GROUP
Шаурма 5 зірок,44844,Kyiv,Marina Georgieva,SMB (AM Segment),2965.6,No,31072.0,Кіоск Шаурма,SHAURMA 5 ZIROK,SHAURMA 5 ZIROK GROUP
ITALIST PROSECCO BAR,11227,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2965.48,No,8113.0,ITALIST PROSECCO BAR,ITALIST PROSECCO BAR,ITALIST GROUP
PARRILLA,116749,Lviv,Sviatoslav Yurchuk,SMB (AM Segment),2933.87,Yes,83798.0,PARRILLA Lviv,PARRILLA,PARRILLA GROUP
Італійська Редакція,44908,Kyiv,Nataliia Klymas,SMB (AM Segment),2923.86,No,31123.0,Італійська Редакція,ITALIJSKA REDAKCIJA,ITALIJSKA REDAKCIJA GROUP
Валіко,89052,Vinnytsia,Mykyta Maliarchuk,SMB (AM Segment),2901.91,No,60109.0,Валіко,VALIKO,VALIKO GROUP
Djotto,190260,Kyiv,,SMB (AM Segment),2850.71,No,141823.0,DJOTTO Kyiv,DJOTTO,DJOTTO
ITALIANA Pizza & Pasta,119268,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2849.71,No,85909.0,ITALIANA PIZZA & PASTA Lviv,ITALIANA PIZZA & PASTA,ITALIANA PIZZA & PASTA
Nice Guys,33742,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2848.52,No,23692.0,Nice Guys,NICE GUYS,NICE GUYS GROUP
по КЕБАБу?,85344,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2809.89,No,57781.0,по КЕБАБу?,PO KEBABU,PO KEBABU GROUP
Kraft Burger,31715,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2774.44,No,22361.0,Kraft Burger,KRAFT BURGER,KRAFT BURGER GROUP
Органіка - ресторан живої кухні,158583,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2735.32,Yes,118427.0,Органіка - ресторан живої кухні,ORGANIKA,ORGANIKA
RAMEN MO,189425,Lviv,,SMB (AM Segment),2730.66,No,141134.0,RAMEN MO Lviv,RAMEN MO,SHUM
"Ресторан ""Три Корони""",30285,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2719.11,No,21365.0,Три Корони,RESTORAN TRY KORONY,RESTORAN TRY KORONY GROUP
Pasta la Pepito,20827,Kyiv,Marina Georgieva,SMB (AM Segment),2662.52,No,11318.0,Pasta la Pepito,PASTA LA PEPITO,PASTA LA PEPITO GROUP
АППЕТІТО Гвардійців Широнінців,63164,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),2646.47,No,42824.0,Аппетіто,APPETITO,APPETITO GROUP
ЗаВарені,179719,Lviv,Marina Georgieva,SMB (AM Segment),2610.68,No,134440.0,ZAVARENI Lviv,ZAVARENI,PARRILLA GROUP
BESTia,34351,Kyiv,Marina Georgieva,SMB (AM Segment),2601.61,No,24113.0,BESTia,BESTIA,BESTIA GROUP
HUM HUM,10760,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2494.48,No,7743.0,HUM HUM,HUM HUM,HUM HUM GROUP
SHO,8079,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),2465.37,No,5729.0,SHO,SHO,SHO GROUP
Cheese Bakery,92843,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2458.14,No,63696.0,Cheese Bakery,CHEESE BAKERY,CHEESE BAKERY GROUP
de More,86268,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),2420.89,No,58550.0,de More,DE MORE,DE MORE GROUP
NAM,9651,Kyiv,Mykyta Maliarchuk,SMB (AM Segment),2418.24,No,6919.0,Nam,NAM,NAM GROUP
Ярославський,99891,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),2411.06,No,69348.0,Ярославський,YAROSLAVSKYI,YAROSLAVSKYI GROUP
The Burger Arena,8019,Kyiv,Marina Georgieva,SMB (AM Segment),2386.4,No,5839.0,The Burger Arena,THE BURGER,THE BURGER GROUP
Black cat,120982,Kharkiv,Stefaniia Oznobishyna,SMB (AM Segment),2384.51,No,87402.0,BLACK CAT Kharkiv,BLACK CAT,BLACK CAT GROUP
Паштет пр. Перемоги,11257,Kyiv,Nataliia Klymas,SMB (AM Segment),2378.91,No,8134.0,Moments group,PASHTET,MOMENTY GROUP
Marani,15951,Kyiv,Nataliia Klymas,SMB (AM Segment),2352.06,No,11570.0,Marani,MARANI,MARANI GROUP
Зигзаг,12113,Kyiv,Marina Georgieva,SMB (AM Segment),2334.9,No,8757.0,Зигзаг,ZYGZAG,ZYGZAG GROUP
Love&Lviv cafe,120582,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2327.34,No,87066.0,LOVE&LVIV Lviv,LOVE&LVIV,LOVE&LVIV
Beirut Cafe,123733,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2291.75,No,50806.0,Бейрут,BEIRUT,BEIRUT GROUP
YUM YUM Respublika,113960,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2274.72,No,81471.0,YUM YUM Respublika,YUM YUM,YUM YUM GROUP
Plate,79883,Kyiv,Marina Georgieva,SMB (AM Segment),2270.71,No,53569.0,Plate,PLATE,PLATE GROUP
Lotus - Indian Cafe,125684,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2264.78,No,91311.0,LOTUS INDIAN CAFE Lviv,LOTUS INDIAN CAFE,LOTUS INDIAN CAFE GROUP
Megobari вул. Гната Юри,124724,Kyiv,Marina Georgieva,SMB (AM Segment),2257.73,No,89956.0,megobari,MEGOBARI,MEGOBARI GROUP
GASTRO FISH,104090,Kharkiv,Mykyta Maliarchuk,SMB (AM Segment),2248.83,No,72902.0,GASTRO FISH Kharkiv,GASTRO FISH,GASTRO FISH GROUP
Pizza Lover,131624,Kyiv,Stefaniia Oznobishyna,SMB (AM Segment),2211.53,No,96544.0,PIZZA LOVER Kyiv,PIZZA LOVER,PIZZA AND SUSHI LOVER
ITALIANA Pizza & Pasta Довженка,149704,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2203.13,No,85909.0,ITALIANA PIZZA & PASTA Lviv,ITALIANA PIZZA & PASTA,ITALIANA PIZZA & PASTA
"Вогень Кебаб, вул. Пантелеймона Куліша",129031,Lviv,Mykyta Maliarchuk,SMB (AM Segment),2198.26,No,79917.0,Вогень Кебаб,VOHEN KEBAB,VOHEN KEBAB GROUP
